0 [0.01, 0.01]
5890 [5.222223e-03, 2.148629e-02]
5900 [5.300582e-03, 2.153158e-02]
5910 [5.251918e-03, 2.145913e-02]
5920 [4.779104e-03, 2.119176e-02]
5930 [4.916447e-03, 2.118591e-02]
5940 [5.277617e-03, 2.133626e-02]
5950 [5.518490e-03, 2.161550e-02]
5960 [5.355238e-03, 2.151374e-02]
5970 [5.288543e-03, 2.149532e-02]
5980 [5.374583e-03, 2.159269e-02]
5990 [5.450509e-03, 2.156338e-02]
6000 [4.747947e-03, 2.099980e-02]
6010 [5.104378e-03, 2.145801e-02]
6020 [5.115270e-03, 2.128624e-02]
6030 [5.355449e-03, 2.147317e-02]
6040 [5.261274e-03, 2.152161e-02]
6050 [5.405355e-03, 2.157903e-02]
6060 [5.439358e-03, 2.161243e-02]
6070 [5.135734e-03, 2.111532e-02]
6080 [5.778525e-03, 2.124022e-02]
6090 [5.786943e-03, 2.153030e-02]
6100 [5.467132e-03, 2.152177e-02]
6110 [5.516526e-03, 2.158386e-02]
6120 [5.387021e-03, 2.156506e-02]
6130 [5.574555e-03, 2.168981e-02]
6140 [5.554394e-03, 2.161879e-02]
6150 [5.454601e-03, 2.151255e-02]
6160 [5.493239e-03, 2.151742e-02]
6170 [5.146464e-03, 2.136163e-02]
6180 [5.426817e-03, 2.155873e-02]
6190 [5.382551e-03, 2.147251e-02]
6200 [5.542559e-03, 2.161792e-02]
6210 [5.510658e-03, 2.147350e-02]
6220 [5.447131e-03, 2.150277e-02]
6230 [5.025373e-03, 2.120411e-02]
6240 [5.169020e-03, 2.144438e-02]
6250 [5.538905e-03, 2.152015e-02]
6260 [5.825275e-03, 2.169475e-02]
6270 [5.542183e-03, 2.158280e-02]
6280 [5.038835e-03, 2.124587e-02]
6290 [4.712651e-03, 2.120302e-02]
6300 [5.641970e-03, 2.110840e-02]
6310 [5.176216e-03, 2.159055e-02]
6320 [5.701750e-03, 2.155411e-02]
6330 [5.662445e-03, 2.161034e-02]
6340 [5.647530e-03, 2.171881e-02]
6350 [5.721109e-03, 2.161600e-02]
6360 [4.830985e-03, 2.122335e-02]
